Area,Area_Name,Count,Ratio
 S12000033,Aberdeen City,2512,110
 S12000034,Aberdeenshire,1803,68
 S12000041,Angus,1267,110
 S12000035,Argyll and Bute,677,77
 S12000036,City of Edinburgh,5402,103
 S12000005,Clackmannanshire,732,141
 S12000006,Dumfries and Galloway,1622,111
 S12000042,Dundee City,2747,183
 S12000008,East Ayrshire,1588,132
 S12000045,East Dunbartonshire,688,63
 S12000010,East Lothian,1285,113
 S12000011,East Renfrewshire,579,59
 S12000014,Falkirk,2173,137
 S12000047,Fife,4774,128
 S12000049,Glasgow City,8836,140
 S12000017,Highland,2728,115
 S12000018,Inverclyde,747,95
 S12000019,Midlothian,1257,128
 S12000020,Moray,806,85
 S12000013,Na h-Eileanan Siar,123,47
 S12000021,North Ayrshire,1800,135
 S12000050,North Lanarkshire,4339,127
 S12000023,Orkney Islands,146,66
 S12000048,Perth and Kinross,1563,102
 S12000038,Renfrewshire,2088,112
 S12000026,Scottish Borders,1223,105
 S12000027,Shetland Islands,106,46
 S12000028,South Ayrshire,1310,117
 S12000029,South Lanarkshire,3831,116
 S12000030,Stirling,1015,108
 S12000039,West Dunbartonshire,1357,153
 S12000040,West Lothian,2743,149