Area Names ,Area Codes,2023
Aberdeen City,S12000033,7.49
Aberdeenshire,S12000034,7.59
Angus,S12000041,7.52
Argyll and Bute,S12000035,7.73
City of Edinburgh,S12000036,7.25
Clackmannanshire,S12000005,7.23
Dumfries and Galloway,S12000006,7.63
Dundee City,S12000042,7.04
East Ayrshire,S12000008,7.37
East Dunbartonshire,S12000045,7.63
East Lothian,S12000010,7.21
East Renfrewshire,S12000011,7.75
Falkirk,S12000014,7.45
Fife,S12000047,7.17
Glasgow City,S12000049,7.14
Highland,S12000017,7.93
Inverclyde,S12000018,7.56
Midlothian,S12000019,7.37
Moray,S12000020,7.39
Na h-Eileanan Siar,S12000013,8.12
North Ayrshire,S12000021,7.42
North Lanarkshire,S12000050,7.33
Orkney Islands,S12000023,[u]
Perth and Kinross,S12000048,7.33
Renfrewshire,S12000038,7.25
Scottish Borders ,S12000026,7.34
Shetland Islands,S12000027,8.22
South Ayrshire,S12000028,7.54
South Lanarkshire,S12000029,7.43
Stirling,S12000030,7.57
West Dunbartonshire,S12000039,7.23
West Lothian,S12000040,7.25