AreaNames ,AreaCodes,HappinessScores
Isle of Anglesey / Ynys Môn,W06000001,7.38
Gwynedd / Gwynedd,W06000002,7.51
Conwy / Conwy,W06000003,7.32
Denbighshire / Sir Ddinbych,W06000004,7.3
Flintshire / Sir y Fflint,W06000005,7.4
Wrexham / Wrecsam,W06000006,7.39
Powys / Powys,W06000023,7.45
Ceredigion / Ceredigion,W06000008,7.34
Pembrokeshire / Sir Benfro,W06000009,7.55
Carmarthenshire / Sir Gaerfyrddin,W06000010,7.43
Swansea / Abertawe,W06000011,7.34
Neath Port Talbot / Castell-nedd Port Talbot,W06000012,7.32
Bridgend / Pen-y-bont ar Ogwr,W06000013,7.72
Vale of Glamorgan / Bro Morgannwg,W06000014,7.43
Cardiff / Caerdydd,W06000015,7.1
Rhondda Cynon Taf / Rhondda Cynon Taf,W06000016,7.22
Merthyr Tydfil / Merthyr Tudful,W06000024,7.48
Caerphilly / Caerffili,W06000018,7.37
Blaenau Gwent / Blaenau Gwent,W06000019,7.22
Torfaen / Tor-faen,W06000020,7.3
Monmouthshire / Sir Fynwy,W06000021,7.64
Newport / Casnewydd,W06000022,7.13