Area_Code,Area_Name,AnnualIncome_2020,NoQual_2021,GCSEQual_2021,ALevelsQual_2021,HigherEduQual_2021,DegreeQual_2021,OtherQual_2021,UnknownQual_2021,AverageHousePrice_2017,IMD
E09000001,City of London,101800,,,,,94.2,,,"835,000",14.7
E09000002,Barking and Dagenham,45509.76540303600,11.8,20,19.7,10.4,26.2,8.8,3.1,"300,000",32.8
E09000003,Barnet,58516.769177052000,7,12.5,11.7,5.3,50.9,12.2,0.6,"533,500",16.1
E09000004,Bexley,53707.9994125792,7.3,23.3,20.6,7.6,34.4,5.2,1.6,"342,500",16.3
E09000005,Brent,52945.34538586080,7.5,14.2,13.6,4.9,45.7,12.3,1.7,"499,950",25.6
E09000006,Bromley,60670.85054525910,4.3,14.8,16.1,7.9,49.9,6.6,0.5,"440,000",14.2
E09000007,Camden,63815.448360417800,5.7,8.4,14.5, ,65.6, , ,"760,000",20.1
E09000008,Croydon,54772.377702380300,6.1,16.8,16.6,8.8,40.8,8.9,2,"365,000",22.5
E09000009,Ealing,58193.79269068190,7.3,6.6,10.6,4.8,60.9,7.9,2,"485,000",22.7
E09000010,Enfield,53153.42374002560,4.5,12.9,22.2,6.5,42.4,9.5,2.1,"402,500",25.8
E09000011,Greenwich,53009.704992767300,4.4,13.3,13.8,7.7,50.5,8.9,1.5,"420,000",24.5
E09000012,Hackney,56290.931116076100,7,6.8,8.1,7.5,63.6,6,1.1,"530,000",32.5
E09000013,Hammersmith and Fulham,63248.31545011570, ,6.9,9.3,3.1,71.3,5.5, ,"777,475",22.3
E09000014,Haringey,58016.03901046620,3.7,13,14.4,6.1,49.6,11.8,1.4,"540,000",28.0
E09000015,Harrow,59861.874909366700, ,13.2,16.8,7.7,49.8,9.1, ,"500,000",15.0
E09000016,Havering,53343.59708536560,7,22.8,23.8,3.9,32.6,7.3,2.7,"350,000",16.8
E09000017,Hillingdon,56905.01863331290,7.2,11.5,20.4,6.6,42.3,9.8,2.1,"415,000",18.2
E09000018,Hounslow,56651.13288723570,5.1,12.1,13.6,5.8,50.6,12.1,0.7,"395,000",21.5
E09000019,Islington,63722.39181795570,6.7,8.5,10.6,4.5,63,6.1,0.8,"615,000",27.5
E09000020,Kensington and Chelsea,67740.14623643050, ,9.2,11.9, ,60.2,11.8, ,"1,315,000",21.5
E09000021,Kingston upon Thames,63952.88128876900, ,12.5,13.6,3.4,61.8,5, ,"487,250",11.4
E09000022,Lambeth,61170.69357209680,3.7,4,11.4,4.6,70.8,3.6,1.9,"518,110",25.4
E09000023,Lewisham,55649.787147117700,6.1,10.1,9.4,3.8,62.1,7.9,0.6,"430,000",26.7
E09000024,Merton,66618.93284066020,2.3,12.7,12,6.8,60.1,5.4,0.8,"470,000",14.6
E09000025,Newham,51591.897999826800,6,10.6,14.3,7.1,49.1,9.5,3.4,"390,500",29.6
E09000026,Redbridge,56868.82641058280,7.4,12.4,15.3,6.9,44.9,12.5,0.6,"420,000",17.2
E09000027,Richmond upon Thames,72751.76177614790,2.9,11.8,11.5,4.9,64.9, , ,"650,000",9.4
E09000028,Southwark,59610.44484026570,6.5,14.4,12.7,4.5,52.6,8.3,1,"530,000",25.8
E09000029,Sutton,57721.461536593100,5.4,14.3,19.8,6.6,46.7,6,1.3,"367,000",14.0
E09000030,Tower Hamlets,58783.29005765480,6.4,9.2,17.6, ,50.7,13.5, ,"490,000",27.9
E09000031,Waltham Forest,55053.6573277747,3.5,13.3,13.1,7.4,52.7,8.7,1.4,"445,000",25.2
E09000032,Wandsworth,73615.15158132260, ,9.7,10.5,4.9,65.3,6.3, ,"654,000",16.6
E09000033,Westminster,66483.743156429,6.1, ,12.3, ,67.8,7.5, ,"1,025,000",20.3