Code,LA,Region,Underweight_Number,Underweight_Prevalence,,Healthy_Number,Healthy_Prevalence,,Overweight_Number,Overweight_Prevalence,,Obesity_Number,Obesity_Prevalence,,
E06000015,Derby,East Midlands, 60 ,1.8,," 3,395 ",60.9,, 750 ,13.5,," 1,355 ",24.3,,
E10000007,Derbyshire,East Midlands, 120 ,1.5,, 750 ,63.3,, 175 ,14.8,, 245 ,20.7,,
E06000016,Leicester,East Midlands, 150 ,3.2,," 1,225 ",61.3,, 300 ,15.0,, 450 ,22.5,,
E10000018,Leicestershire,East Midlands, 140 ,1.9,, 630 ,57.0,, 165 ,14.9,, 295 ,26.7,,
E10000019,Lincolnshire,East Midlands, 100 ,1.3,," 1,145 ",59.2,, 270 ,14.0,, 495 ,25.6,,
E06000061,North Northamptonshire,East Midlands, 45 ,1.1,," 1,775 ",57.9,, 455 ,14.8,, 790 ,25.8,,
E06000018,Nottingham,East Midlands, 70 ,1.9,," 1,360 ",61.8,, 315 ,14.3,, 490 ,22.3,,
E10000024,Nottinghamshire,East Midlands, 130 ,1.4,," 1,960 ",63.8,, 390 ,12.7,, 685 ,22.3,,
E06000017,Rutland,East Midlands, * ,*,, 895 ,59.5,, 205 ,13.6,, 380 ,25.2,,
E06000062,West Northamptonshire,East Midlands, 85 ,1.8,, 965 ,58.1,, 230 ,13.9,, 435 ,26.2,,
E06000055,Bedford,East of England, 35 ,1.7,," 1,465 ",60.2,, 340 ,14.0,, 600 ,24.6,,
E10000003,Cambridgeshire,East of England, 110 ,1.6,," 1,660 ",56.4,, 435 ,14.8,, 810 ,27.5,,
E06000056,Central Bedfordshire,East of England, 55 ,1.6,," 1,330 ",58.6,, 325 ,14.3,, 555 ,24.4,,
E10000012,Essex,East of England, 265 ,1.6,, 855 ,56.6,, 235 ,15.6,, 395 ,26.2,,
E10000015,Hertfordshire,East of England, 230 ,1.8,," 2,320 ",59.5,, 560 ,14.4,, 920 ,23.6,,
E06000032,Luton,East of England, 75 ,2.2,," 1,445 ",62.6,, 300 ,13.0,, 515 ,22.3,,
E10000020,Norfolk,East of England, 105 ,1.2,," 2,640 ",66.9,, 495 ,12.5,, 765 ,19.4,,
E06000031,Peterborough,East of England, 55 ,1.8,," 2,290 ",65.1,, 480 ,13.7,, 710 ,20.2,,
E06000033,Southend-on-Sea,East of England, 30 ,1.5,," 1,670 ",61.9,, 380 ,14.1,, 625 ,23.1,,
E10000029,Suffolk,East of England, 110 ,1.5,, 890 ,59.3,, 195 ,13.0,, 400 ,26.7,,
E06000034,Thurrock,East of England, 40 ,1.6,, 985 ,53.7,, 275 ,15.0,, 555 ,30.2,,
E09000002,Barking and Dagenham,London, 65 ,1.8,," 8,450 ",62.9,," 1,955 ",14.6,," 2,815 ",21.0,,
E09000003,Barnet,London, 80 ,1.9,," 2,970 ",58.2,, 720 ,14.1,," 1,355 ",26.6,,
E09000004,Bexley,London, 65 ,2.1,," 4,005 ",57.4,, 950 ,13.6,," 1,880 ",27.0,,
E09000005,Brent,London, 100 ,2.9,," 1,960 ",59.1,, 450 ,13.6,, 830 ,25.0,,
E09000006,Bromley,London, 60 ,1.7,," 1,865 ",59.4,, 430 ,13.7,, 775 ,24.7,,
E09000007,Camden,London, 25 ,2.0,," 1,765 ",57.8,, 420 ,13.7,, 815 ,26.7,,
E09000008,Croydon,London, 85 ,2.0,," 1,755 ",61.1,, 365 ,12.7,, 705 ,24.6,,
E09000009,Ealing,London, 90 ,2.4,," 1,190 ",58.3,, 280 ,13.7,, 560 ,27.5,,
E09000010,Enfield,London, 70 ,1.8,," 2,275 ",65.6,, 480 ,13.8,, 685 ,19.7,,
E09000011,Greenwich,London, 50 ,1.5,," 1,550 ",61.3,, 380 ,15.0,, 560 ,22.1,,
E09000012,Hackney,London, 40 ,1.8,," 2,015 ",66.3,, 435 ,14.3,, 535 ,17.6,,
E09000013,Hammersmith and Fulham,London, 15 ,1.4,," 1,550 ",62.6,, 355 ,14.3,, 540 ,21.8,,
E09000014,Haringey,London, 40 ,1.8,," 1,295 ",63.0,, 310 ,15.1,, 425 ,20.7,,
E09000015,Harrow,London, 75 ,2.6,," 2,160 ",62.0,, 445 ,12.8,, 825 ,23.7,,
E09000016,Havering,London, 50 ,1.5,," 2,200 ",62.1,, 495 ,14.0,, 790 ,22.3,,
E09000017,Hillingdon,London, 95 ,2.6,," 1,690 ",59.2,, 390 ,13.7,, 730 ,25.6,,
E09000018,Hounslow,London, 75 ,2.3,," 4,345 ",58.7,, 955 ,12.9,," 1,930 ",26.1,,
E09000019,Islington,London, 25 ,1.6,," 1,520 ",61.2,, 350 ,14.1,, 580 ,23.3,,
E09000020,Kensington and Chelsea,London, 10 ,1.6,," 2,175 ",58.8,, 550 ,14.9,, 910 ,24.6,,
E09000021,Kingston upon Thames,London, 35 ,2.0,," 2,140 ",64.4,, 455 ,13.7,, 685 ,20.6,,
E09000022,Lambeth,London, 25 ,1.0,," 1,875 ",56.6,, 475 ,14.3,, 925 ,27.9,,
E09000023,Lewisham,London, 45 ,1.4,," 3,220 ",60.4,, 760 ,14.3,," 1,240 ",23.3,,
E09000024,Merton,London, 40 ,2.0,," 5,740 ",62.1,," 1,295 ",14.0,," 2,055 ",22.2,,
E09000025,Newham,London, 120 ,2.8,," 1,130 ",58.2,, 250 ,12.9,, 535 ,27.6,,
E09000026,Redbridge,London, 140 ,3.5,," 1,185 ",60.9,, 285 ,14.7,, 445 ,22.9,,
E09000027,Richmond upon Thames,London, 40 ,2.1,," 3,695 ",65.9,, 780 ,13.9,," 1,075 ",19.2,,
E09000028,Southwark,London, 40 ,1.5,," 1,840 ",58.0,, 430 ,13.6,, 855 ,27.0,,
E09000029,Sutton,London, 60 ,2.3,," 3,755 ",60.5,, 850 ,13.7,," 1,480 ",23.9,,
E09000030,Tower Hamlets,London, 85 ,2.7,," 2,400 ",62.0,, 530 ,13.7,, 885 ,22.9,,
E09000031,Waltham Forest,London, 60 ,2.1,," 1,160 ",65.4,, 255 ,14.4,, 340 ,19.2,,
E09000032,Wandsworth,London, 40 ,1.8,," 1,985 ",60.3,, 450 ,13.7,, 800 ,24.3,,
E09000033,Westminster,London, 20 ,2.0,," 5,145 ",64.6,," 1,115 ",14.0,," 1,580 ",19.8,,
E06000047,County Durham,North East, 80 ,1.4,," 2,660 ",57.6,, 620 ,13.4,," 1,190 ",25.8,,
E06000005,Darlington,North East, 15 ,1.3,," 4,905 ",65.7,," 1,035 ",13.9,," 1,390 ",18.6,,
E08000037,Gateshead,North East, 25 ,1.3,," 4,640 ",61.6,," 1,045 ",13.9,," 1,750 ",23.2,,
E06000001,Hartlepool,North East, 15 ,1.4,," 2,515 ",62.0,, 560 ,13.8,, 935 ,23.1,,
E06000002,Middlesbrough,North East, 20 ,1.0,," 2,010 ",55.5,, 525 ,14.5,," 1,015 ",28.0,,
E08000021,Newcastle upon Tyne,North East, 50 ,1.6,," 5,725 ",62.4,," 1,295 ",14.1,," 2,020 ",22.0,,
E08000022,North Tyneside,North East, 35 ,1.6,, 245 ,70.0,, 35 ,10.0,, 70 ,20.0,,
E06000057,Northumberland,North East, 30 ,1.0,," 3,080 ",64.3,, 705 ,14.7,, 920 ,19.2,,
E06000003,Redcar and Cleveland,North East, 25 ,1.7,," 8,995 ",57.7,," 2,190 ",14.0,," 4,050 ",26.0,,
E08000023,South Tyneside,North East, 25 ,1.5,," 2,495 ",57.0,, 640 ,14.6,," 1,140 ",26.1,,
E06000004,Stockton-on-Tees,North East, 30 ,1.2,," 2,225 ",59.6,, 530 ,14.2,, 925 ,24.8,,
E08000024,Sunderland,North East, 40 ,1.4,," 1,150 ",63.0,, 260 ,14.2,, 385 ,21.1,,
E06000008,Blackburn with Darwen,North West, 65 ,2.9,," 2,550 ",53.0,, 655 ,13.6,," 1,490 ",31.0,,
E06000009,Blackpool,North West, 30 ,2.0,," 1,695 ",64.8,, 370 ,14.1,, 520 ,19.9,,
E08000001,Bolton,North West, 100 ,2.6,," 1,745 ",66.1,, 350 ,13.3,, 485 ,18.4,,
E08000002,Bury,North West, 50 ,2.2,," 5,595 ",62.3,," 1,230 ",13.7,," 2,045 ",22.8,,
E06000049,Cheshire East,North West, 45 ,1.1,," 1,815 ",57.2,, 465 ,14.6,, 840 ,26.5,,
E06000050,Cheshire West and Chester,North West, 40 ,1.1,," 1,410 ",61.6,, 290 ,12.7,, 565 ,24.7,,
E06000063,Cumberland,North West, 25 ,0.9,," 2,130 ",56.5,, 530 ,14.1,," 1,040 ",27.6,,
E06000006,Halton,North West, 15 ,1.0,," 4,215 ",65.1,, 885 ,13.7,," 1,270 ",19.6,,
E08000011,Knowsley,North West, 15 ,0.8,," 1,910 ",54.4,, 515 ,14.7,," 1,040 ",29.6,,
E10000017,Lancashire,North West, 210 ,1.6,," 3,790 ",64.0,, 845 ,14.3,," 1,215 ",20.5,,
E08000012,Liverpool,North West, 55 ,1.1,," 1,335 ",63.7,, 280 ,13.4,, 445 ,21.2,,
E08000003,Manchester,North West, 135 ,1.9,," 4,595 ",68.3,, 880 ,13.1,," 1,145 ",17.0,,
E08000004,Oldham,North West, 75 ,2.3,," 2,295 ",68.0,, 430 ,12.7,, 595 ,17.6,,
E08000005,Rochdale,North West, 70 ,2.2,," 11,050 ",65.8,," 2,245 ",13.4,," 3,225 ",19.2,,
E08000006,Salford,North West, 55 ,1.8,," 8,955 ",68.3,," 1,625 ",12.4,," 2,310 ",17.6,,
E08000014,Sefton,North West, 40 ,1.4,," 1,850 ",55.2,, 515 ,15.4,, 910 ,27.2,,
E08000013,St. Helens,North West, 10 ,0.5,," 5,450 ",63.7,," 1,170 ",13.7,," 1,835 ",21.4,,
E08000007,Stockport,North West, 35 ,1.0,," 1,820 ",60.2,, 435 ,14.4,, 725 ,24.0,,
E08000008,Tameside,North West, 35 ,1.4,," 1,300 ",64.7,, 260 ,12.9,, 420 ,20.9,,
E08000009,Trafford,North West, 55 ,1.8,," 4,840 ",64.4,," 1,025 ",13.6,," 1,540 ",20.5,,
E06000007,Warrington,North West, 30 ,1.2,," 1,490 ",60.4,, 310 ,12.6,, 620 ,25.2,,
E06000064,Westmorland and Furness,North West, 25 ,1.2,," 1,935 ",54.0,, 535 ,14.9,," 1,050 ",29.3,,
E08000010,Wigan,North West, 55 ,1.6,," 2,635 ",63.6,, 570 ,13.8,, 860 ,20.7,,
E08000015,Wirral,North West, 50 ,1.4,," 1,910 ",61.4,, 420 ,13.5,, 720 ,23.2,,
E06000036,Bracknell Forest,South East, 25 ,1.8,," 1,985 ",57.6,, 470 ,13.6,, 890 ,25.8,,
E06000043,Brighton and Hove,South East, 25 ,1.1,," 2,345 ",66.4,, 505 ,14.3,, 620 ,17.6,,
E06000060,Buckinghamshire,South East, 125 ,2.1,, 755 ,61.6,, 160 ,13.1,, 285 ,23.3,,
E10000011,East Sussex,South East, 65 ,1.3,," 2,545 ",59.4,, 565 ,13.2,," 1,085 ",25.3,,
E10000014,Hampshire,South East, 190 ,1.3,," 2,290 ",61.1,, 480 ,12.8,, 890 ,23.7,,
E06000046,Isle of Wight,South East, 20 ,1.6,," 2,195 ",57.0,, 520 ,13.5,," 1,060 ",27.5,,
E10000016,Kent,South East, 270 ,1.5,," 1,925 ",57.6,, 475 ,14.2,, 890 ,26.6,,
E06000035,Medway,South East, 45 ,1.3,," 1,255 ",56.8,, 315 ,14.3,, 600 ,27.1,,
E06000042,Milton Keynes,South East, 80 ,2.0,, 690 ,62.4,, 135 ,12.2,, 265 ,24.0,,
E10000025,Oxfordshire,South East, 120 ,1.7,," 1,355 ",60.2,, 305 ,13.6,, 550 ,24.4,,
E06000044,Portsmouth,South East, 40 ,1.7,," 1,750 ",59.9,, 400 ,13.7,, 695 ,23.8,,
E06000038,Reading,South East, 35 ,1.8,," 1,965 ",60.1,, 460 ,14.1,, 800 ,24.5,,
E06000039,Slough,South East, 85 ,3.6,," 2,185 ",59.9,, 510 ,14.0,, 855 ,23.4,,
E06000045,Southampton,South East, 50 ,1.8,," 1,885 ",58.2,, 485 ,15.0,, 795 ,24.5,,
E10000030,Surrey,South East, 190 ,1.9,, 955 ,61.6,, 215 ,13.9,, 350 ,22.6,,
E06000037,West Berkshire,South East, 20 ,1.2,, 395 ,63.7,, 85 ,13.7,, 130 ,21.0,,
E10000032,West Sussex,South East, 140 ,1.6,," 1,220 ",71.1,, 210 ,12.2,, 255 ,14.9,,
E06000040,Windsor and Maidenhead,South East, 30 ,2.1,," 1,385 ",57.7,, 335 ,14.0,, 655 ,27.3,,
E06000041,Wokingham,South East, 55 ,2.4,," 1,860 ",59.9,, 430 ,13.8,, 770 ,24.8,,
E06000022,Bath and North East Somerset,South West, 20 ,1.2,," 1,285 ",64.9,, 275 ,13.9,, 380 ,19.2,,
E06000058,"Bournemouth, Christchurch and Poole",South West, 50 ,1.4,," 2,350 ",54.7,, 585 ,13.6,," 1,235 ",28.8,,
E06000023,"Bristol, City of",South West, 75 ,1.6,," 2,295 ",58.1,, 545 ,13.8,, 970 ,24.6,,
E06000052,Cornwall,South West, 65 ,1.2,," 1,365 ",72.4,, 235 ,12.5,, 250 ,13.3,,
E10000008,Devon,South West, 80 ,1.2,," 1,510 ",56.6,, 375 ,14.0,, 745 ,27.9,,
E06000059,Dorset,South West, 30 ,1.0,," 1,700 ",65.9,, 340 ,13.2,, 480 ,18.6,,
E10000013,Gloucestershire,South West, 90 ,1.4,," 1,720 ",55.6,, 455 ,14.7,, 835 ,27.0,,
E06000024,North Somerset,South West, 35 ,1.5,," 1,735 ",60.2,, 370 ,12.8,, 710 ,24.7,,
E06000026,Plymouth,South West, 45 ,1.7,," 1,415 ",64.6,, 290 ,13.2,, 440 ,20.1,,
E06000066,Somerset,South West, 65 ,1.3,, 580 ,59.2,, 145 ,14.8,, 235 ,24.0,,
E06000025,South Gloucestershire,South West, 50 ,1.5,, 900 ,66.4,, 190 ,14.0,, 235 ,17.3,,
E06000030,Swindon,South West, 50 ,1.9,," 1,545 ",70.1,, 300 ,13.6,, 335 ,15.2,,
E06000027,Torbay,South West, 20 ,1.5,," 4,115 ",67.8,, 765 ,12.6,," 1,060 ",17.5,,
E06000054,Wiltshire,South West, 85 ,1.6,," 3,355 ",67.8,, 645 ,13.0,, 875 ,17.7,,
E08000025,Birmingham,West Midlands, 365 ,2.3,," 9,640 ",66.3,," 2,000 ",13.8,," 2,710 ",18.6,,
E08000026,Coventry,West Midlands, 95 ,2.2,, 860 ,68.8,, 165 ,13.2,, 205 ,16.4,,
E08000027,Dudley,West Midlands, 55 ,1.5,," 11,165 ",63.5,," 2,445 ",13.9,," 3,690 ",21.0,,
E06000019,"Herefordshire, County of",West Midlands, 25 ,1.4,," 2,115 ",60.3,, 485 ,13.8,, 860 ,24.5,,
E08000028,Sandwell,West Midlands, 115 ,2.4,," 2,470 ",61.7,, 585 ,14.6,, 865 ,21.6,,
E06000051,Shropshire,West Midlands, 30 ,1.1,," 4,765 ",66.3,, 965 ,13.4,," 1,340 ",18.6,,
E08000029,Solihull,West Midlands, 55 ,2.1,," 1,390 ",59.5,, 345 ,14.8,, 560 ,24.0,,
E10000028,Staffordshire,West Midlands, 115 ,1.3,," 1,175 ",61.7,, 285 ,15.0,, 415 ,21.8,,
E06000021,Stoke-on-Trent,West Midlands, 55 ,1.7,," 1,325 ",56.4,, 335 ,14.3,, 605 ,25.7,,
E06000020,Telford and Wrekin,West Midlands, 25 ,1.1,," 1,570 ",57.7,, 365 ,13.4,, 730 ,26.8,,
E08000030,Walsall,West Midlands, 70 ,1.9,," 7,240 ",70.9,," 1,295 ",12.7,," 1,490 ",14.6,,
E10000031,Warwickshire,West Midlands, 100 ,1.5,," 1,100 ",65.9,, 235 ,14.1,, 315 ,18.9,,
E08000031,Wolverhampton,West Midlands, 40 ,1.1,," 6,010 ",67.2,," 1,140 ",12.8,," 1,650 ",18.5,,
E10000034,Worcestershire,West Midlands, 65 ,1.1,, 980 ,69.0,, 180 ,12.7,, 230 ,16.2,,
E08000016,Barnsley,Yorkshire and the Humber, 40 ,1.4,," 1,600 ",71.0,, 285 ,12.6,, 315 ,14.0,,
E08000032,Bradford,Yorkshire and the Humber, 170 ,2.3,," 1,220 ",70.3,, 200 ,11.5,, 295 ,17.0,,
E08000033,Calderdale,Yorkshire and the Humber, 40 ,1.6,," 2,405 ",65.0,, 515 ,13.9,, 730 ,19.7,,
E08000017,Doncaster,Yorkshire and the Humber, 65 ,1.8,," 3,055 ",64.9,, 640 ,13.6,, 935 ,19.9,,
E06000011,East Riding of Yorkshire,Yorkshire and the Humber, 45 ,1.4,," 3,665 ",67.4,, 685 ,12.6,," 1,025 ",18.9,,
E06000010,"Kingston upon Hull, City of",Yorkshire and the Humber, 35 ,1.1,," 4,495 ",67.2,, 925 ,13.8,," 1,185 ",17.7,,
E08000034,Kirklees,Yorkshire and the Humber, 110 ,2.1,," 2,090 ",66.8,, 440 ,14.1,, 565 ,18.1,,
E08000035,Leeds,Yorkshire and the Humber, 160 ,1.7,," 4,155 ",64.0,, 950 ,14.6,," 1,290 ",19.9,,
E06000012,North East Lincolnshire,Yorkshire and the Humber, 25 ,1.3,," 1,595 ",68.6,, 310 ,13.3,, 385 ,16.6,,
E06000013,North Lincolnshire,Yorkshire and the Humber, 30 ,1.5,," 1,670 ",64.6,, 350 ,13.5,, 520 ,20.1,,
E06000065,North Yorkshire,Yorkshire and the Humber, 55 ,1.0,," 3,240 ",63.7,, 750 ,14.7,," 1,030 ",20.3,,
E08000018,Rotherham,Yorkshire and the Humber, 45 ,1.4,," 2,285 ",69.3,, 420 ,12.7,, 540 ,16.4,,
E08000019,Sheffield,Yorkshire and the Humber, 120 ,1.9,," 1,640 ",61.3,, 405 ,15.1,, 585 ,21.9,,
E08000036,Wakefield,Yorkshire and the Humber, 50 ,1.3,, 840 ,64.4,, 180 ,13.8,, 260 ,19.9,,
E06000014,York,Yorkshire and the Humber, 20 ,1.1,," 3,385 ",65.5,, 695 ,13.5,," 1,000 ",19.4,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,